time,load_shortfall_3h
2018-01-01 00:00:00,7684.93
2018-01-01 03:00:00,1201.9102
2018-01-01 06:00:00,-831.7063
2018-01-01 09:00:00,8171.167
2018-01-01 12:00:00,9761.39
2018-01-01 15:00:00,16011.47
2018-01-01 18:00:00,8635.723
2018-01-01 21:00:00,13863.622
2018-01-02 00:00:00,7226.9126
2018-01-02 03:00:00,1924.4547
2018-01-02 06:00:00,2809.7883
2018-01-02 09:00:00,7488.464
2018-01-02 12:00:00,10271.611
2018-01-02 15:00:00,9229.754
2018-01-02 18:00:00,8799.078
2018-01-02 21:00:00,11420.1
2018-01-03 00:00:00,8449.514
2018-01-03 03:00:00,5339.9883
2018-01-03 06:00:00,3841.514
2018-01-03 09:00:00,7848.477
2018-01-03 12:00:00,7114.1807
2018-01-03 15:00:00,6386.899
2018-01-03 18:00:00,3069.7124
2018-01-03 21:00:00,5412.142
2018-01-04 00:00:00,6691.638
2018-01-04 03:00:00,7393.7393
2018-01-04 06:00:00,5964.7812
2018-01-04 09:00:00,8075.292
2018-01-04 12:00:00,10129.787
2018-01-04 15:00:00,5882.5693
2018-01-04 18:00:00,4375.801
2018-01-04 21:00:00,6730.2314
2018-01-05 00:00:00,10645.448
2018-01-05 03:00:00,6888.6323
2018-01-05 06:00:00,5208.582
2018-01-05 09:00:00,6417.6714
2018-01-05 12:00:00,4989.5312
2018-01-05 15:00:00,4837.4644
2018-01-05 18:00:00,6183.9473
2018-01-05 21:00:00,6797.748
2018-01-06 00:00:00,10914.194
2018-01-06 03:00:00,12089.903
2018-01-06 06:00:00,9371.78
2018-01-06 09:00:00,9655.102
2018-01-06 12:00:00,10973.846
2018-01-06 15:00:00,7399.601
2018-01-06 18:00:00,7766.2905
2018-01-06 21:00:00,5409.841
2018-01-07 00:00:00,11127.6455
2018-01-07 03:00:00,7814.714
2018-01-07 06:00:00,5275.1323
2018-01-07 09:00:00,8977.957
2018-01-07 12:00:00,13478.657
2018-01-07 15:00:00,15981.775
2018-01-07 18:00:00,15360.901
2018-01-07 21:00:00,10688.433
2018-01-08 00:00:00,15002.923
2018-01-08 03:00:00,9729.326
2018-01-08 06:00:00,11108.023
2018-01-08 09:00:00,11568.036
2018-01-08 12:00:00,15842.32
2018-01-08 15:00:00,16484.85
2018-01-08 18:00:00,15186.245
2018-01-08 21:00:00,16079.948
2018-01-09 00:00:00,17919.205
2018-01-09 03:00:00,11615.725
2018-01-09 06:00:00,10343.861
2018-01-09 09:00:00,13701.901
2018-01-09 12:00:00,15017.988
2018-01-09 15:00:00,13944.418
2018-01-09 18:00:00,12901.614
2018-01-09 21:00:00,14217.867
2018-01-10 00:00:00,14910.733
2018-01-10 03:00:00,9856.929
2018-01-10 06:00:00,7374.5605
2018-01-10 09:00:00,9779.366
2018-01-10 12:00:00,14551.583
2018-01-10 15:00:00,13206.356
2018-01-10 18:00:00,12394.8
2018-01-10 21:00:00,13073.159
2018-01-11 00:00:00,13316.484
2018-01-11 03:00:00,8907.124
2018-01-11 06:00:00,10454.768
2018-01-11 09:00:00,11468.965
2018-01-11 12:00:00,16307.678
2018-01-11 15:00:00,14285.229
2018-01-11 18:00:00,14116.446
2018-01-11 21:00:00,14020.551
2018-01-12 00:00:00,14427.424
2018-01-12 03:00:00,8838.097
2018-01-12 06:00:00,8847.638
2018-01-12 09:00:00,13180.855
2018-01-12 12:00:00,16707.975
2018-01-12 15:00:00,15724.109
2018-01-12 18:00:00,16131.887
2018-01-12 21:00:00,18018.016
2018-01-13 00:00:00,16146.782
2018-01-13 03:00:00,9164.168
2018-01-13 06:00:00,8123.8687
2018-01-13 09:00:00,8874.541
2018-01-13 12:00:00,13219.611
2018-01-13 15:00:00,15617.744
2018-01-13 18:00:00,12353.319
2018-01-13 21:00:00,9513.006
2018-01-14 00:00:00,9100.794
2018-01-14 03:00:00,6400.955
2018-01-14 06:00:00,4405.0903
2018-01-14 09:00:00,5918.9927
2018-01-14 12:00:00,10298.728
2018-01-14 15:00:00,11116.98
2018-01-14 18:00:00,9281.228
2018-01-14 21:00:00,9684.6
2018-01-15 00:00:00,13519.712
2018-01-15 03:00:00,7094.14
2018-01-15 06:00:00,7681.096
2018-01-15 09:00:00,14502.726
2018-01-15 12:00:00,16957.232
2018-01-15 15:00:00,17113.912
2018-01-15 18:00:00,13109.92
2018-01-15 21:00:00,14022.46
2018-01-16 00:00:00,13646.49
2018-01-16 03:00:00,9611.239
2018-01-16 06:00:00,6821.0264
2018-01-16 09:00:00,12634.379
2018-01-16 12:00:00,14363.57
2018-01-16 15:00:00,14211.129
2018-01-16 18:00:00,12507.705
2018-01-16 21:00:00,14120.168
2018-01-17 00:00:00,12305.55
2018-01-17 03:00:00,8503.89
2018-01-17 06:00:00,7027.997
2018-01-17 09:00:00,11801.806
2018-01-17 12:00:00,13101.023
2018-01-17 15:00:00,11692.102
2018-01-17 18:00:00,12117.684
2018-01-17 21:00:00,16057.585
2018-01-18 00:00:00,17439.334
2018-01-18 03:00:00,8870.262
2018-01-18 06:00:00,8296.547
2018-01-18 09:00:00,14365.979
2018-01-18 12:00:00,17230.5
2018-01-18 15:00:00,15897.628
2018-01-18 18:00:00,14236.352
2018-01-18 21:00:00,17086.871
2018-01-19 00:00:00,17792.307
2018-01-19 03:00:00,10907.186
2018-01-19 06:00:00,9675.357
2018-01-19 09:00:00,14966.196
2018-01-19 12:00:00,16079.398
2018-01-19 15:00:00,14670.879
2018-01-19 18:00:00,10340.211
2018-01-19 21:00:00,13250.074
2018-01-20 00:00:00,13171.759
2018-01-20 03:00:00,7401.2295
2018-01-20 06:00:00,6887.3965
2018-01-20 09:00:00,9501.512
2018-01-20 12:00:00,13209.297
2018-01-20 15:00:00,14017.017
2018-01-20 18:00:00,11957.999
2018-01-20 21:00:00,13280.7
2018-01-21 00:00:00,9187.092
2018-01-21 03:00:00,5104.2217
2018-01-21 06:00:00,5379.5303
2018-01-21 09:00:00,4246.451
2018-01-21 12:00:00,8935.569
2018-01-21 15:00:00,8297.639
2018-01-21 18:00:00,7342.41
2018-01-21 21:00:00,10821.352
2018-01-22 00:00:00,12980.26
2018-01-22 03:00:00,9806.378
2018-01-22 06:00:00,5636.029
2018-01-22 09:00:00,14261.087
2018-01-22 12:00:00,15952.73
2018-01-22 15:00:00,13985.903
2018-01-22 18:00:00,16565.793
2018-01-22 21:00:00,17918.758
2018-01-23 00:00:00,13840.629
2018-01-23 03:00:00,7672.0454
2018-01-23 06:00:00,9194.19
2018-01-23 09:00:00,15895.152
2018-01-23 12:00:00,17607.98
2018-01-23 15:00:00,15982.224
2018-01-23 18:00:00,15367.536
2018-01-23 21:00:00,17249.688
2018-01-24 00:00:00,15878.777
2018-01-24 03:00:00,11100.25
2018-01-24 06:00:00,9841.764
2018-01-24 09:00:00,15265.346
2018-01-24 12:00:00,16006.782
2018-01-24 15:00:00,15878.548
2018-01-24 18:00:00,16753.176
2018-01-24 21:00:00,17672.422
2018-01-25 00:00:00,17382.52
2018-01-25 03:00:00,11056.725
2018-01-25 06:00:00,10601.906
2018-01-25 09:00:00,16316.091
2018-01-25 12:00:00,17905.383
2018-01-25 15:00:00,17765.812
2018-01-25 18:00:00,15589.309
2018-01-25 21:00:00,16190.612
2018-01-26 00:00:00,14480.973
2018-01-26 03:00:00,3574.533
2018-01-26 06:00:00,5450.7544
2018-01-26 09:00:00,9950.351
2018-01-26 12:00:00,8278.493
2018-01-26 15:00:00,7887.5186
2018-01-26 18:00:00,8902.426
2018-01-26 21:00:00,12004.677
2018-01-27 00:00:00,12461.331
2018-01-27 03:00:00,6696.3696
2018-01-27 06:00:00,5582.53
2018-01-27 09:00:00,10914.007
2018-01-27 12:00:00,8603.239
